店舗ID,店舗_名称,店舗_名称_カナ,店舗_概要,店舗_所在地,店舗_所在地_郵便番号,店舗_所在地_全国地方公共団体コード,店舗_所在地_都道府県名,店舗_所在地_郡名,店舗_所在地_市区町村名,店舗_所在地_行政区名,店舗_所在地_町域名以降,店舗_所在地_建物名,店舗_所在地_緯度,店舗_所在地_経度,店舗_業態_産業分類コード,店舗_業態_産業分類名,店舗_画像,店舗_タグ,店舗_営業時間,店舗_定休日,店舗_電話番号,店舗_FAX番号,店舗_メールアドレス,店舗_Webサイト,店舗_地図,店舗_Twitter,店舗_Facebookページ,店舗_インスタグラム,店舗_LINE,店舗_テイクアウト対応フラグ,店舗_デリバリー対応フラグ,店舗_閉店フラグ,店舗_登録日,店舗_最終更新日,店舗_補足,NO,区
F0012,VIVACE,ビバーチェ,,静岡県浜松市中区肴町313-14,4300932,221309,静岡県,,浜松市,中区,肴町313-14,,34.706414,137.728753,7629,その他の専門料理店,,,,,(053)454-7895,,,,,,,,,,,,2020-08-11,,,11,中区
F0015,酒肴楽縁　笑門　ワラカド　ハママツ,シュコウラクエンワラカドハママツ,,静岡県浜松市中区板屋町660　広小路ビル1F,4300928,221309,静岡県,,浜松市,中区,板屋町660,広小路ビル1F,34.706703,137.734477,7651,酒場，ビヤホール,,,,,(053)413-1255,,,https://warakado2019.owst.jp/,,,,,,,,,2020-08-11,,,12,中区
F0017,日本料理　寿し半藍路,ニホンリョウリスシハンアイロ,,静岡県浜松市東区半田町1720,4313124,221309,静岡県,,浜松市,東区,半田町1720,,34.764616,137.745049,7641,すし店,,,,,(053)433-1421,,,https://sushihan.jp,,,,,,,,,2020-08-11,,,13,東区
F0018,千歳鮨KOH庵-iori-,チトセスシコウイオリ,,静岡県浜松市中区千歳町33-3　パーフェクトセントラルビル2階,4300934,221309,静岡県,,浜松市,中区,千歳町33-3,パーフェクトセントラルビル2階,34.704342,137.729756,7641,すし店,,,,,(053)451-3838,,,http://www.minmin.in/sushikoh/,,,,,,,,,2020-08-11,,,14,中区
F0020,千歳きくいち,チトセキクイチ,,静岡県浜松市中区千歳町35,4300934,221309,静岡県,,浜松市,中区,千歳町35,,34.704535,137.729800,7641,すし店,,,,,(053)452-5666,,,http://www.kikuichi-group.co.jp/,,,,,,,,,2020-08-11,,,15,中区
F0024,日本料理　浜松　桝形,ニホンリョウリハママツマスガタ,,静岡県浜松市中区肴町316-40　桝形ビル4F,4300932,221309,静岡県,,浜松市,中区,肴町316-40,桝形ビル4F,34.707135,137.729486,7621,日本料理店,,,,,(053)452-0498,,,http://masugata.jp/,,,,,,,,,2020-08-11,,,16,中区
F0025,炭と酒　凡猿,スミトサケボンザル,,静岡県浜松市中区肴町316-40　桝形ビルB1F,4300932,221309,静岡県,,浜松市,中区,肴町316-40,桝形ビルB1F,34.707135,137.729486,7621,日本料理店,,,,,(053)450-8839,,,http://bonzaru.com/,,,,,,,,,2020-08-11,,,17,中区
F0027,鳥貴族　浜松有楽街店,トリキゾクハママツユウラクガイテン,,静岡県浜松市中区肴町322-20　松竹ビル3F,4300932,221309,静岡県,,浜松市,中区,肴町322-20,松竹ビル3F,34.706761,137.730384,7651,酒場，ビヤホール,,,,,(053)401-2033,,,https://www.torikizoku.co.jp/shops/detail/545,,,,,,,,,2020-08-11,,,18,中区
F0033,旬の料理あまの,シュンノリョウリアマノ,,静岡県浜松市中区肴町313-12　Yビル1F,4300932,221309,静岡県,,浜松市,中区,肴町313-12,Yビル1F,34.706524,137.728720,7621,日本料理店,,,,,(053)451-0700,,,http://www.shunnoryouri-amano.com/,,,,,,,,,2020-08-11,,,19,中区
F0050,松壱家　浜松有楽街店,マツイチヤハママツユウラクガイテン,,静岡県浜松市中区田町323-11　オーリットビル1階,4300944,221309,静岡県,,浜松市,中区,田町323-11,オーリットビル1階,34.707132,137.730307,7624,ラーメン店,,,,,(053)401-4777,,,http://www.matsuichiya.com/,,,,,,,,,2020-08-11,,,20,中区
F0014,浜松肉寿司,ハママツニクズシ,,静岡県浜松市中区肴町323-1　ぬい屋ビル1F,4300932,221309,静岡県,,浜松市,中区,肴町323-1,ぬい屋ビル1F,34.707141,137.730105,7651,酒場，ビヤホール,,,,,(053)455-5000,,,,,,,,,,,,2020-08-12,,,21,中区
F0016,蔵前家,クラマエヤ,,静岡県浜松市北区細江町中川7172-2522,4311304,221309,静岡県,,浜松市,北区,細江町中川7172-2522,,34.794323,137.688096,7624,ラーメン店,,,,,(053)523-3525,,,,,,,,,,,,2020-08-12,,,22,北区
F0022,広島お好み焼き　タイラ,ヒロシマオコノミヤキタイラ,,静岡県浜松市東区有玉南町508-3,4313122,221309,静岡県,,浜松市,東区,有玉南町508-3,,34.756188,137.752140,7692,お好み焼き・焼きそば・たこ焼き店,,,,,(053)434-8898,,,,,,,,,,,,2020-08-12,,,23,東区
F0026,美酒粋料理いなせ,ビザケイキリョウリイナセ,,静岡県浜松市中区田町323-11　オーリットビル3階西側,4300944,221309,静岡県,,浜松市,中区,田町323-11,オーリットビル3階西側,34.707132,137.730307,7651,酒場，ビヤホール,,,,,(053)456-1451,,,,,,,,,,,,2020-08-12,,,24,中区
F0034,夜食屋らーめん民民　浜松有楽街店,ヤショクヤラーメンミンミンハママツユウラクガイテン,,静岡県浜松市中区田町323-14,4300944,221309,静岡県,,浜松市,中区,田町323-14,,34.707277,137.730104,7624,ラーメン店,,,,,(053)456-9009,,,http://www.minmin.in/,,,,,,,,,2020-08-12,,,25,中区
F0035,ティンクル浜松,ティンクルハママツ,,静岡県浜松市中区鍛冶町2-1　丸鈴ビル4F,4300933,221309,静岡県,,浜松市,中区,鍛冶町2-1,丸鈴ビル4F,34.703675,137.732162,7661,バー，キャバレー，ナイトクラブ,,,,,(053)455-4040,,,,,,,,,,,,2020-08-12,,,26,中区
F0049,よってけ,ヨッテケ,,静岡県浜松市東区子安町1481　ハママツタクシービル101,4350015,221309,静岡県,,浜松市,東区,子安町1481,ハママツタクシービル101,34.716907,137.761875,7661,バー，キャバレー，ナイトクラブ,,,,,(053)462-7467,,,,,,,,,,,,2020-08-12,,,27,東区
F0051,FORTUNE,フォーチューン,,静岡県浜松市中区神明町223-33　ワールドプラザ浜松103号,4300931,221309,静岡県,,浜松市,中区,神明町223-33,ワールドプラザ浜松103号,34.708352,137.728799,7661,バー，キャバレー，ナイトクラブ,,,,,(053)456-7077,,,,,,,,,,,,2020-08-12,,,28,中区
F0057,和風料理　かえんろう,ワフウリョウリカエンロウ,,静岡県浜松市中区元浜町33-4,4300942,221309,静岡県,,浜松市,中区,元浜町33-4,,34.713620,137.732191,7621,日本料理店,,,,,(053)473-2825,,,,,,,,,,,,2020-08-12,,,29,中区
F0058,牡蠣小屋舞阪マルマ幸福丸,カキゴヤマイサカマルマコウフクマル,,静岡県浜松市西区舞阪町舞阪2621-114,4310211,221309,静岡県,,浜松市,西区,舞阪町舞阪2621-114,,34.689555,137.623563,7621,日本料理店,,,,,(053)592-2340,,,https://kakigoya.hamazo.tv/,,,,,,,,,2020-08-12,,,30,西区
F0009,和牛と魚貝おへそ,ワギュウトギョカイオヘソ,,"静岡県浜松市中区肴町318-27 2f",4300932,221309,静岡県,,浜松市,中区,肴町318-27,2f,34.706255,137.729180,7621,日本料理店,,,,,(053)456-1733,,,https://nbt1700.gorp.jp/,,,,,,,,,2020-08-13,,,31,中区
F0019,菊一本店,キクイチホンテン,,静岡県浜松市中区鴨江3-53-15,4328023,221309,静岡県,,浜松市,中区,鴨江3-53-15,,34.709195,137.711920,7641,すし店,,,,,(053)452-3203,,,http://www.kikuichi-group.co.jp/,,,,,,,,,2020-08-13,,,32,中区
F0021,料亭うのいち,リョウテイウノイチ,,静岡県浜松市中区中島2-1-9,4300856,221309,静岡県,,浜松市,中区,中島2-1-9,,34.702907,137.745513,7622,料亭,,,,,(053)463-2477,,,http://www.unoichi.com/,,,,,,,,,2020-08-13,,,33,中区
F0028,東寿司,アズマズシ,,静岡県浜松市中区領家3-26-3,4300852,221309,静岡県,,浜松市,中区,領家3-26-3,,34.693028,137.752844,7641,すし店,,,,,(053)462-2077,,,,,,,,,,,,2020-08-13,,,34,中区
F0038,こだわり産直卸さんぼん,コダワリサンチョクオロシサンボン,,静岡県浜松市北区初生町856-9,4338112,221309,静岡県,,浜松市,北区,初生町856-9,,34.768223,137.720482,7651,酒場，ビヤホール,,,,,(053)489-3348,,,https://sanbon-hamamatsu.com/,,,,,,,,,2020-08-13,,,35,北区
F0053,亀庵総本店　有玉店,カメアンソウホンテンアリタマテン,,静岡県浜松市東区有玉北町789-1,4313121,221309,静岡県,,浜松市,東区,有玉北町789-1,,34.765152,137.755882,7631,そば・うどん店,,,,,(053)432-0600,,,https://www.kamean.com/,,,,,,,,,2020-08-13,,,36,東区
F0055,フルーツパーラーTASTAS,フルーツパーラータスタス,,静岡県浜松市中区曳馬2-1-1　フルーツパーラーTASTAS,4300901,221309,静岡県,,浜松市,中区,曳馬2-1-1,フルーツパーラーTASTAS,34.725668,137.739986,7629,その他の専門料理店,,,,,(053)465-1808,,,,,,,,,,,,2020-08-13,,,37,中区
F0068,スナック　ともだち,スナックトモダチ,,静岡県浜松市北区三方原町298-10,4338105,221309,静岡県,,浜松市,北区,三方原町298-10,,34.775751,137.712475,7661,バー，キャバレー，ナイトクラブ,,,,,(053)439-7789,,,,,,,,,,,,2020-08-13,,,38,北区
F0071,居酒屋十二か月,イザカヤジュウニカゲツ,,静岡県浜松市中区肴町314-25　クラウンビル2階,4300932,221309,静岡県,,浜松市,中区,肴町314-25,クラウンビル2階,34.707006,137.728593,7651,酒場，ビヤホール,,,,,(053)453-5479,,,,,,,,,,,,2020-08-13,,,39,中区
F0072,創作フレンチ・マリポーサ,ソウサクフレンチマリポーサ,,静岡県浜松市中区海老塚2-3-1　アパホテル浜松駅南1階,4328033,221309,静岡県,,浜松市,中区,海老塚2-3-1,アパホテル浜松駅南1階,34.700601,137.732071,7629,その他の専門料理店,,,,,(053)456-3229,,,https://www.3535.co.jp/mariposa/,,,,,,,,,2020-08-13,,,40,中区
F0073,ニクバルダカラ浜松有楽街店,ニクバルダカラハママツユウラクガイテン,,静岡県浜松市中区肴町322-1　ぬい屋ビル1階,4300932,221309,静岡県,,浜松市,中区,肴町322-1,ぬい屋ビル1階,34.706946,137.730155,7651,酒場，ビヤホール,,,,,(053)453-2986,,,http://arigatou-hamamatsu.co.jp/,,,,,,,,,2020-08-13,,,41,中区
F0079,板屋町とり誠,イタヤマチトリマサ,,静岡県浜松市中区板屋町2-104　シティータワー浜松1F,4300928,221309,静岡県,,浜松市,中区,板屋町2-104,シティータワー浜松1F,34.706802,137.733846,7651,酒場，ビヤホール,,,,,(053)522-9990,,,,,,,,,,,,2020-08-13,,,42,中区
F0081,"BEACH-DINING KAI-WANA",ビーチダイニングカイワナ,,静岡県浜松市中区肴町318-17　FJビル1F,4300932,221309,静岡県,,浜松市,中区,肴町318-17,FJビル1F,34.706306,137.729841,7661,バー，キャバレー，ナイトクラブ,,,,,(053)522-8173,,,,,,,,,,,,2020-08-13,,,43,中区
F0039,えんてつダイニング　〈浜松餃子　錦華〉,エンテツダイニングハママツギョウザキンカ,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7629,その他の専門料理店,,,,,(053)457-5520,,,,,,,,,,,,2020-08-14,,,44,中区
F0040,えんてつダイニング　〈おぼんdeごはん〉浜松遠鉄店,エンテツダイニングオボンデゴハンハママツエンテツテン,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)543-7070,,,,,,,,,,,,2020-08-14,,,45,中区
F0041,えんてつダイニング　〈うなぎ　徳〉,エンテツダイニングウナギトク,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7629,その他の専門料理店,,,,,(053)488-5109,,,,,,,,,,,,2020-08-14,,,46,中区
F0042,"えんてつダイニング　〈鼎'S　by JIN DIN ROU 浜松遠鉄百貨店〉",エンテツダイニングディンズバイジンディンロウ,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7623,中華料理店,,,,,(053)543-5800,,,,,,,,,,,,2020-08-14,,,47,中区
F0043,えんてつダイニング　〈越後叶家　浜松遠鉄百貨店〉,エンテツダイニングエチゴカノウヤ,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7631,そば・うどん店,,,,,(053)457-5465,,,,,,,,,,,,2020-08-14,,,48,中区
F0044,えんてつダイニング　〈ザ　ハイミール　ダイナー〉,エンテツダイニングザハイミールダイナー,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)482-8838,,,,,,,,,,,,2020-08-14,,,49,中区
F0045,"遠鉄百貨店　E PRONTO浜松UP-ON店",エンテツヒャッカテンイープロントハママツアップオンテン,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)457-5851,,,,,,,,,,,,2020-08-14,,,50,中区
F0046,えんてつダイニング　〈洋麺屋　五右衛門〉,エンテツヒャッカテンヨウメンヤゴエモン,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7629,その他の専門料理店,,,,,(053)457-5490,,,,,,,,,,,,2020-08-14,,,51,中区
F0047,えんてつダイニング　〈サロン　卵と私〉　浜松遠鉄店,エンテツダイニングサロンタマゴトワタシ,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)457-5470,,,,,,,,,,,,2020-08-14,,,52,中区
F0052,亀庵総本店　西塚店,カメアンソウホンテンニシヅカテン,,静岡県浜松市東区西塚町94-1,4350044,221309,静岡県,,浜松市,東区,西塚町94-1,,34.718874,137.759011,7631,そば・うどん店,,,,,(053)467-2200,,,https://www.kamean.com/,,,,,,,,,2020-08-14,,,53,東区
F0054,浜松　とんとん庵,ハママツトントンアン,,静岡県浜松市東区有玉北町194-1,4313121,221309,静岡県,,浜松市,東区,有玉北町194-1,,34.773232,137.758988,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)424-8862,,,https://www.kamean.com/,,,,,,,,,2020-08-14,,,54,東区
F0056,海鮮と産地鶏の炭火焼　うお鶏　浜松店,カイセントサンチドリノスミビヤキウオトリハママツテン,,静岡県浜松市中区鍛冶町140浜松イズムCビル　B1F,4300933,221309,静岡県,,浜松市,中区,鍛冶町140,浜松イズムCビル　B1F,34.704039,137.731659,7651,酒場，ビヤホール,,,,,(053)455-3833,,,https://uotori-hamamatsu.owst.jp/,,,,,,,,,2020-08-14,,,55,中区
F0062,ごんまるとごん讃　アクトタワー店,ゴンマルトゴンザアクトタワーテン,,静岡県浜松市中区板屋町111-2浜松アクトタワーB1,4300928,221309,静岡県,,浜松市,中区,板屋町111-2,浜松アクトタワーB1,34.705231,137.735788,7651,酒場，ビヤホール,,,,,(053)459-6150,,,http://www.gonmal.com/,,,,,,,,,2020-08-14,,,56,中区
F0065,凜や　住吉店,リンヤスミヨシテン,,静岡県浜松市中区住吉2-8-21,4300906,221309,静岡県,,浜松市,中区,住吉2-8-21,,34.730074,137.727433,7651,酒場，ビヤホール,,,,,(053)476-2888,,,,,,,,,,,,2020-08-14,,,57,中区
F0066,凜や　葵西店,リンヤアオイニシテン,,静岡県浜松市中区葵西5-2-2,4380078,221309,静岡県,,浜松市,中区,葵西5-2-2,,34.775267,137.705615,7651,酒場，ビヤホール,,,,,(053)430-1881,,,,,,,,,,,,2020-08-14,,,58,中区
F0075,"nana's green tea　遠鉄百貨店",ナナズグリーンティエンテツヒャッカテン,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7671,喫茶店,,,,,(053)415-9092,,,,,,,,,,,,2020-08-14,,,59,中区
F0076,えんてつダイニング　〈さわやか　浜松遠鉄店〉,エンテツダイニングサワヤカハママツエンテツテン,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7629,その他の専門料理店,,,,,(053)456-3113,,,,,,,,,,,,2020-08-14,,,60,中区
F0077,8FEET,エイトフィート,,静岡県浜松市中区砂山町325-20水谷ビルB1F,4300926,221309,静岡県,,浜松市,中区,砂山町325-20,水谷ビルB1F,34.702981,137.735999,7651,酒場，ビヤホール,,,,,(053)453-7501,,,,,,,,,,,,2020-08-14,,,61,中区
F0078,えんてつダイニング　〈牛兵衛草庵　浜松遠鉄店〉,エンテツダイニングギュウベイソウアンハママツエンテツテン,,静岡県浜松市中区砂山町320-2,4308588,221309,静岡県,,浜松市,中区,砂山町320-2,,34.703839,137.733401,7625,焼き肉店,,,,,(053)401-4129,,,,,,,,,,,,2020-08-14,,,62,中区
F0084,鉄板焼さざんか,テッパンヤキサザンカ,,静岡県浜松市中区板屋町111-2オークラアクトシティホテル浜松31階,4307733,221309,静岡県,,浜松市,中区,板屋町111-2,オークラアクトシティホテル浜松31階,34.705231,137.735788,7629,その他の専門料理店,,,,,(053)459-0111,,,https://www.act-okura.co.jp/,,,,,,,,,2020-08-14,,,63,中区
F0085,中国料理桃花林,チュウゴクリョウリトウカリン,,静岡県浜松市中区板屋町111-2オークラアクトシティホテル浜松2階,4307733,221309,静岡県,,浜松市,中区,板屋町111-2,オークラアクトシティホテル浜松2階,34.705231,137.735788,7623,中華料理店,,,,,(053)459-0111,,,https://www.act-okura.co.jp/,,,,,,,,,2020-08-14,,,64,中区
F0087,喜乃八,キノハチ,,静岡県浜松市中区田町316-14,4300944,221309,静岡県,,浜松市,中区,田町316-14,,34.707337,137.729444,7621,日本料理店,,,,,(053)453-4953,,,,,,,,,,,,2020-08-14,,,65,中区
F0094,おばんざいえん,オバンザイエン,,静岡県浜松市中区千歳町102番地クラシキビル1階,4300934,221309,静岡県,,浜松市,中区,千歳町102番地,クラシキビル1階,34.704178,137.731042,7651,酒場，ビヤホール,,,,,(053)456-7370,,,,,,,,,,,,2020-08-14,,,66,中区
F0032,魚料理専門　魚魚一,サカナリョウリセンモンテントトイチ,,静岡県浜松市中区肴町318-28ペッシェビル3階,4300932,221309,静岡県,,浜松市,中区,肴町318-28,ペッシェビル3階,34.706323,137.729157,7621,日本料理店,,,,,(053)458-6343,,,http://www.totoichi.com/,,,,,,,,,2020-08-17,,,67,中区
F0059,ひだまりCafeえむ,ヒダマリカフェエム,,静岡県浜松市浜北区内野1501MハイツII209号室,4340044,221309,静岡県,,浜松市,浜北区,内野1501,MハイツII209号室,34.776848,137.756832,7671,喫茶店,,,,,(053)585-2103,,,https://hidamaricafeemu.hamazo.tv/,,,,,,,,,2020-08-17,,,68,浜北区
F0060,がむしゃら,ガムシャラ,,"静岡県浜松市中区肴町314-26 松作ビル3F",4300932,221309,静岡県,,浜松市,中区,肴町314-26,松作ビル3F,34.706924,137.728602,7651,酒場，ビヤホール,,,,,(053)453-5700,,,,,,,,,,,,2020-08-17,,,69,中区
F0064,和食と釜めしかなざわ,ワショクトカマメシカナザワ,,静岡県浜松市西区雄踏町宇布見4061-5,4310102,221309,静岡県,,浜松市,西区,雄踏町宇布見4061-5,,34.697593,137.645906,7621,日本料理店,,,,,(053)596-3035,,,http://kamamesi.zashiki.com/,,,,,,,,,2020-08-17,,,70,西区
F0067,紅すゞめ,ベニスズメ,,静岡県浜松市中区板屋町683,4300928,221309,静岡県,,浜松市,中区,板屋町683,,34.706650,137.735357,7621,日本料理店,,,,,(053)452-1590,,,https://www.benisuzume.co.jp/,,,,,,,,,2020-08-17,,,71,中区
F0082,マルセ,マルセ,,静岡県浜松市中区田町328-2第2高見ビル2F東,4300944,221309,静岡県,,浜松市,中区,田町328-2,第2高見ビル2F東,34.707647,137.732573,7651,酒場，ビヤホール,,,,,(053)458-7011,,,,,,,,,,,,2020-08-17,,,72,中区
F0089,三代目鳥メロ浜松有楽街店,サンダイメトリメロハママツユウラクガイテン,,静岡県浜松市中区鍛冶町322-17,4300933,221309,静岡県,,浜松市,中区,鍛冶町322-17,,34.706375,137.730378,7651,酒場，ビヤホール,,,,,(050)1709-1156,,,,,,,,,,,,2020-08-17,,,73,中区
F0091,石松餃子浜北本店,イシマツギョウザハママツホンテン,,静岡県浜松市浜北区平口252-1,4340041,221309,静岡県,,浜松市,浜北区,平口252-1,,34.800569,137.761290,7629,その他の専門料理店,,,,,(053)586-8522,,,https://1402.jp/,,,,,,,,,2020-08-17,,,74,浜北区
F0098,呑み処　心,ノミドコロココロ,,静岡県浜松市天竜区山東1066-1,4313303,221309,静岡県,,浜松市,天竜区,山東1066-1,,34.890308,137.833943,7651,酒場，ビヤホール,,,,,(0539)26-2253,,,,,,,,,,,,2020-08-17,,,75,天竜区
F0102,牛角浜松モール街店,ギュウカクハママツモールガイテン,,静岡県浜松市中区千歳町72明治屋ビル1F,4300934,221309,静岡県,,浜松市,中区,千歳町72,明治屋ビル1F,34.704341,137.730640,7625,焼き肉店,,,,,(053)459-2911,,,,,,,,,,,,2020-08-17,,,76,中区
F0105,コメダ珈琲店浜松三方原店,コメダコーヒーミカタバラテン,,静岡県浜松市北区三方原町237-1,4338105,221309,静岡県,,浜松市,北区,三方原町237-1,,34.771466,137.710844,7671,喫茶店,,,,,(053)439-8881,,,,,,,,,,,,2020-08-17,,,77,北区
F0036,りょうぶん橋を渉って,リョウブンバシヲワタッテ,,静岡県浜松市中区板屋町110-17ホテルクラウンパレス浜松B1F,4300928,221309,静岡県,,浜松市,中区,板屋町110-17,ホテルクラウンパレス浜松B1F,34.706193,137.734726,7651,酒場，ビヤホール,,,,,(053)413-0345,,,,,,,,,,,,2020-08-18,,,78,中区
F0037,猪八,イノハチ,,静岡県浜松市中区旭町10-8浜松駅前ビル1F,4300927,221309,静岡県,,浜松市,中区,旭町10-8,浜松駅前ビル1F,34.704989,137.732978,7651,酒場，ビヤホール,,,,,(053)454-6464,,,,,,,,,,,,2020-08-18,,,79,中区
F0069,はまきたプラザホテル　ビアガーデン・ビアホール,ハマキタプラザホテルビアガーデンビアホール,,静岡県浜松市浜北区貴布祢458-1,4340038,221309,静岡県,,浜松市,浜北区,貴布祢458-1,,34.796570,137.789717,7651,酒場，ビヤホール,,,,,(053)586-2121,,,https://kanehara.co.jp/,,,,,,,,,2020-08-18,,,80,浜北区
F0086,ブルーブリックステーキハウス,ブルーブリックステーキハウス,,静岡県浜松市中区肴町318-16かわかみビル2階,4300932,221309,静岡県,,浜松市,中区,肴町318-16,かわかみビル2階,34.706305,137.729911,7629,その他の専門料理店,,,,,(053)451-2929,,,https://www.facebook.com/bluebricksteakhouse,,,,,,,,,2020-08-18,,,81,中区
F0099,UNDERGROUND,アンダーグランド,,静岡県浜松市中区肴町318-18八千代ビル　B1F,4300932,221309,静岡県,,浜松市,中区,肴町318-18,八千代ビル　B1F,34.706299,137.729780,7651,酒場，ビヤホール,,,,,(053)452-5123,,,https://sports-dining-bar-inspire.business.site/,,,,,,,,,2020-08-18,,,82,中区
F0106,濱しょう,ハマショウ,,静岡県浜松市中区田町325-5,4300944,221309,静岡県,,浜松市,中区,田町325-5,,34.707909,137.730034,7651,酒場，ビヤホール,,,,,(053)451-5455,,,,,,,,,,,,2020-08-18,,,83,中区
