店舗ID,店舗_名称,店舗_名称_カナ,店舗_概要,店舗_所在地,店舗_所在地_郵便番号,店舗_所在地_全国地方公共団体コード,店舗_所在地_都道府県名,店舗_所在地_郡名,店舗_所在地_市区町村名,店舗_所在地_行政区名,店舗_所在地_町域名以降,店舗_所在地_建物名,店舗_所在地_緯度,店舗_所在地_経度,店舗_業態_産業分類コード,店舗_業態_産業分類名,店舗_画像,店舗_タグ,店舗_営業時間,店舗_定休日,店舗_電話番号,店舗_FAX番号,店舗_メールアドレス,店舗_Webサイト,店舗_地図,店舗_Twitter,店舗_Facebookページ,店舗_インスタグラム,店舗_LINE,店舗_テイクアウト対応フラグ,店舗_デリバリー対応フラグ,店舗_閉店フラグ,店舗_登録日,店舗_最終更新日,店舗_補足
F0011,ラボラトリー,ラボラトリー,,静岡県浜松市中区板屋町102-1,4300928,221309,静岡県,,浜松市,中区,板屋町102-1,,34.707344,137.733074,7624,ラーメン店,,,,,(053)458-3058,,,https://www.instagram.com/laboratoryhamamatsu/,,,,,,,,,2020-08-11,,
F0012,VIVACE,ビバーチェ,,静岡県浜松市中区肴町313-14,4300932,221309,静岡県,,浜松市,中区,肴町313-14,,34.706414,137.728753,7629,その他の専門料理店,,,,,(053)454-7895,,,,,,,,,,,,2020-08-11,,
F0014,浜松肉寿司,ハママツニクズシ,,静岡県浜松市中区肴町323-1　ぬい屋ビル1F,4300932,221309,静岡県,,浜松市,中区,肴町323-1,ぬい屋ビル1F,34.707141,137.730105,7651,酒場，ビヤホール,,,,,(053)455-5000,,,,,,,,,,,,2020-08-12,,
F0015,酒肴楽縁　笑門　ワラカド　ハママツ,シュコウラクエンワラカドハママツ,,静岡県浜松市中区板屋町660　広小路ビル1F,4300928,221309,静岡県,,浜松市,中区,板屋町660,広小路ビル1F,34.706703,137.734477,7651,酒場，ビヤホール,,,,,(053)413-1255,,,https://warakado2019.owst.jp/,,,,,,,,,2020-08-11,,
F0016,蔵前家,クラマエヤ,,静岡県浜松市北区細江町中川7172-2522,4311304,221309,静岡県,,浜松市,北区,細江町中川7172-2522,,34.794323,137.688096,7624,ラーメン店,,,,,(053)523-3525,,,,,,,,,,,,2020-08-12,,
F0017,日本料理　寿し半藍路,ニホンリョウリスシハンアイロ,,静岡県浜松市東区半田町1720,4313124,221309,静岡県,,浜松市,東区,半田町1720,,34.764616,137.745049,7641,すし店,,,,,(053)433-1421,,,https://sushihan.jp,,,,,,,,,2020-08-11,,
F0018,千歳 鮨KOH庵-iori-,チトセスシコウイオリ,,静岡県浜松市中区千歳町33-3　パーフェクトセントラルビル2階,4300934,221309,静岡県,,浜松市,中区,千歳町33-3,パーフェクトセントラルビル2階,34.704342,137.729756,7641,すし店,,,,,(053)451-3838,,,http://www.minmin.in/sushikoh/,,,,,,,,,2020-08-11,,
F0019,菊一本店,キクイチホンテン,,静岡県浜松市中区鴨江3-53-15,4328023,221309,静岡県,,浜松市,中区,鴨江3-53-15,,34.709177,137.711920,7641,すし店,,,,,(053)452-3203,,,http://www.kikuichi-group.co.jp/,,,,,,,,,2020-08-13,,
F0020,千歳きくいち,チトセキクイチ,,静岡県浜松市中区千歳町35,4300934,221309,静岡県,,浜松市,中区,千歳町35,,34.704535,137.729800,7641,すし店,,,,,(053)452-5666,,,http://www.kikuichi-group.co.jp/,,,,,,,,,2020-08-11,,
F0021,料亭うのいち,リョウテイウノイチ,,静岡県浜松市中区中島2-1-9,4300856,221309,静岡県,,浜松市,中区,中島2-1-9,,34.702907,137.745513,7622,料亭,,,,,(053)463-2477,,,http://www.unoichi.com/,,,,,,,,,2020-08-13,,
F0022,広島お好み焼き　タイラ,ヒロシマオコノミヤキタイラ,,静岡県浜松市東区有玉南町508-3,4313122,221309,静岡県,,浜松市,東区,有玉南町508-3,,34.756188,137.752140,7692,お好み焼き・焼きそば・たこ焼き店,,,,,(053)434-8898,,,,,,,,,,,,2020-08-12,,
F0024,日本料理　浜松　桝形,ニホンリョウリハママツマスガタ,,静岡県浜松市中区肴町316-40　桝形ビル4F,4300932,221309,静岡県,,浜松市,中区,肴町316-40,桝形ビル4F,34.707135,137.729486,7621,日本料理店,,,,,(053)452-0498,,,http://masugata.jp/,,,,,,,,,2020-08-11,,
F0025,炭と酒　凡猿,スミトサケボンザル,,静岡県浜松市中区肴町316-40　桝形ビルB1F,4300932,221309,静岡県,,浜松市,中区,肴町316-40,桝形ビルB1F,34.707135,137.729486,7621,日本料理店,,,,,(053)450-8839,,,http://bonzaru.com/,,,,,,,,,2020-08-11,,
F0026,美酒粋料理いなせ,ビシュイキリョウリイナセ,,静岡県浜松市中区田町323-11　オーリットビル3階西側,4300944,221309,静岡県,,浜松市,中区,田町323-11,オーリットビル3階西側,34.707132,137.730307,7651,酒場，ビヤホール,,,,,(053)456-1451,,,,,,,,,,,,2020-08-12,,
F0027,鳥貴族　浜松有楽街店,トリキゾクハママツユウラクガイテン,,静岡県浜松市中区肴町322-20　松竹ビル3F,4300932,221309,静岡県,,浜松市,中区,肴町322-20,松竹ビル3F,34.706761,137.730384,7651,酒場，ビヤホール,,,,,(053)401-2033,,,https://www.torikizoku.co.jp/shops/detail/545,,,,,,,,,2020-08-11,,
F0028,東寿司,アズマズシ,,静岡県浜松市中区領家3-26-3,4300852,221309,静岡県,,浜松市,中区,領家3-26-3,,34.693001,137.752855,7641,すし店,,,,,(053)462-2077,,,,,,,,,,,,2020-08-13,,
F0033,旬の料理あまの,シュンノリョウリアマノ,,静岡県浜松市中区肴町313-12　Yビル1F,4300932,221309,静岡県,,浜松市,中区,肴町313-12,Yビル1F,34.706524,137.728720,7621,日本料理店,,,,,(053)451-0700,,,http://www.shunnoryouri-amano.com/,,,,,,,,,2020-08-11,,
F0034,夜食屋らーめん民民　浜松有楽街店,ヤショクヤラーメンミンミンハママツユウラクガイテン,,静岡県浜松市中区田町323-14,4300944,221309,静岡県,,浜松市,中区,田町323-14,,34.707277,137.730104,7624,ラーメン店,,,,,(053)456-9009,,,http://www.minmin.in/,,,,,,,,,2020-08-12,,
F0035,ティンクル浜松,ティンクルハママツ,,静岡県浜松市中区鍛冶町2-1　丸鈴ビル4F,4300933,221309,静岡県,,浜松市,中区,鍛冶町2-1,丸鈴ビル4F,34.703675,137.732162,7661,バー，キャバレー，ナイトクラブ,,,,,(053)455-4040,,,,,,,,,,,,2020-08-12,,
F0038,こだわり産直卸さんぼん,コダワリサンチョクオロシサンボン,,静岡県浜松市北区初生町856-9,4338112,221309,静岡県,,浜松市,北区,初生町856-9,,34.768223,137.720482,7651,酒場，ビヤホール,,,,,(053)489-3348,,,https://sanbon-hamamatsu.com/,,,,,,,,,2020-08-13,,
F0049,よってけ,ヨッテケ,,静岡県浜松市東区子安町1481　ハママツタクシービル101,4350015,221309,静岡県,,浜松市,東区,子安町1481,ハママツタクシービル101,34.716907,137.761875,7661,バー，キャバレー，ナイトクラブ,,,,,(053)462-7467,,,,,,,,,,,,2020-08-12,,
F0050,松壱家　浜松有楽街店,マツイチヤハママツユウラクガイテン,,静岡県浜松市中区田町323-11　オーリットビル1階,4300944,221309,静岡県,,浜松市,中区,田町323-11,オーリットビル1階,34.707132,137.730307,7624,ラーメン店,,,,,(053)401-4777,,,http://www.matsuichiya.com/,,,,,,,,,2020-08-11,,
F0051,FORTUNE,フォーチューン,,静岡県浜松市中区神明町223-33　ワールドプラザ 浜松103号,4300931,221309,静岡県,,浜松市,中区,神明町223-33,ワールドプラザ 浜松103号,34.708352,137.728799,7661,バー，キャバレー，ナイトクラブ,,,,,(053)456-7077,,,,,,,,,,,,2020-08-12,,
F0053,亀庵総本店　有玉店,カメアンソウホンテンアリタマテン,,静岡県浜松市東区有玉北町789-1,4313121,221309,静岡県,,浜松市,東区,有玉北町789-1,,34.765152,137.755882,7631,そば・うどん店,,,,,(053)432-0600,,,https://www.kamean.com/,,,,,,,,,2020-08-13,,
F0055,フルーツパーラーTASTAS,フルーツパーラータスタス,,静岡県浜松市中区曳馬2-1-1　フルーツパーラーTASTAS,4300901,221309,静岡県,,浜松市,中区,曳馬2-1-1,フルーツパーラーTASTAS,34.725668,137.739986,7629,その他の専門料理店,,,,,(053)465-1808,,,,,,,,,,,,2020-08-13,,
F0057,和風料理　かえんろう,ワフウリョウリカエンロウ,,静岡県浜松市中区元浜町33-4,4300942,221309,静岡県,,浜松市,中区,元浜町33-4,,34.713620,137.732191,7621,日本料理店,,,,,(053)473-2825,,,,,,,,,,,,2020-08-12,,
F0058,牡蠣小屋舞阪マルマ幸福丸,カキゴヤマイサカマルマコウフクマル,,静岡県浜松市西区舞阪町舞阪2621-114,4310211,221309,静岡県,,浜松市,西区,舞阪町舞阪2621-114,,34.689555,137.623563,7621,日本料理店,,,,,(053)592-2340,,,https://kakigoya.hamazo.tv/,,,,,,,,,2020-08-12,,
F0068,スナック　ともだち,スナックトモダチ,,静岡県浜松市北区三方原町298-10,4338105,221309,静岡県,,浜松市,北区,三方原町298-10,,34.775751,137.712475,7661,バー，キャバレー，ナイトクラブ,,,,,(053)439-7789,,,,,,,,,,,,2020-08-13,,
F0071,居酒屋 十二か月,イザカヤジュウニカゲツ,,静岡県浜松市中区肴町314-25　クラウンビル2階,4300932,221309,静岡県,,浜松市,中区,肴町314-25,クラウンビル2階,34.707006,137.728593,7651,酒場，ビヤホール,,,,,(053)453-5479,,,,,,,,,,,,2020-08-13,,
F0072,創作フレンチ・マリポーサ,ソウサクフレンチマリポーサ,,静岡県浜松市中区海老塚2-3-1　アパホテル浜松駅南1階,4328033,221309,静岡県,,浜松市,中区,海老塚2-3-1,アパホテル浜松駅南1階,34.700601,137.732071,7629,その他の専門料理店,,,,,(053)456-3229,,,https://www.3535.co.jp/mariposa/,,,,,,,,,2020-08-13,,
F0073,ニクバルダカラ浜松有楽街店,ニクバルダカラハママツユウラクガイテン,,静岡県浜松市中区肴町322-1　ぬい屋ビル1階,4300932,221309,静岡県,,浜松市,中区,肴町322-1,ぬい屋ビル1階,34.706946,137.730155,7651,酒場，ビヤホール,,,,,(053)453-2986,,,http://arigatou-hamamatsu.co.jp/,,,,,,,,,2020-08-13,,
F0074,Nabeya　劉　-Lau-,ナベヤラウ,,静岡県浜松市中区田町323-20　プロスパービル1F,4300944,221309,静岡県,,浜松市,中区,田町323-20,プロスパービル1F,34.707459,137.730175,7651,酒場，ビヤホール,,,,,(053)413-0050,,,https://www.hotpepper.jp/strJ001245800/,,,,,,,,,2020-08-13,,
F0079,板屋町 とり誠,イタヤマチトリセイ,,静岡県浜松市中区板屋町2-104　シティータワー浜松1F,4300928,221309,静岡県,,浜松市,中区,板屋町2-104,シティータワー浜松1F,34.706802,137.733846,7651,酒場，ビヤホール,,,,,(053)522-9990,,,,,,,,,,,,2020-08-13,,
F0081,BEACH-DINING KAI-WANA,ビーチダイニングカイワナ,,静岡県浜松市中区肴町318-17　FJビル1F,4300932,221309,静岡県,,浜松市,中区,肴町318-17,FJビル1F,34.706306,137.729841,7661,バー，キャバレー，ナイトクラブ,,,,,(053)522-8173,,,,,,,,,,,,2020-08-13,,
F0179,はっ葉,ハッパ,,静岡県浜松市南区高塚町4382,4328065,221309,静岡県,,浜松市,南区,高塚町4382,,34.687627,137.686484,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)445-4045,,,https://happa-64.com/,,,,,,,,,2020-08-20,,
F0172,串家物語イオンモール浜松志都呂店,クシヤモノガタリイオンモールハママツシトロテン,,静岡県浜松市西区志都呂2-37-1イオンモール浜松志都呂2F,4328069,221309,静岡県,,浜松市,西区,志都呂2-37-1,イオンモール浜松志都呂2F,34.697180,137.649390,7629,その他の専門料理店,,,,,(053)415-0310,,,http://www.kushi-ya.com/,,,,,,,,,2020-08-19,,
F0168,浜松ホルモン酒場 もんもん,ハママツホルモンサカバモンモン,,静岡県浜松市中区田町315-22ぬいやビル 1F,4300944,221309,静岡県,,浜松市,中区,田町315-22,ぬいやビル 1F,34.707967,137.729398,7625,焼き肉店,,,,,(053)457-1780,,,https://www.chilldiner.com/,,,,,,,,,2020-08-19,,
F0166,フォーハノイセカンド浜松板屋町店,フォーハノイセカンドハママツイタヤマチテン,,静岡県浜松市中区板屋町104-1ディーズタワー1F,4300928,221309,静岡県,,浜松市,中区,板屋町104-1,ディーズタワー1F,34.706344,137.732857,7629,その他の専門料理店,,,,,(053)455-0011,,,http://oishii-hamamatsu2.com/,,,,,,,,,2020-08-19,,
F0163,プチダイニングバーてのひら,プチダイニングバーテノヒラ,,静岡県浜松市東区原島町360番池,4350047,221309,静岡県,,浜松市,東区,原島町360番池,,34.732081,137.771438,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)466-3559,,,,,,,,,,,,2020-08-19,,
F0162,カラオケ喫茶スナック優歌,カラオケキッサスナックユウカ,,静岡県浜松市中区萩丘1-10-8,4338121,221309,静岡県,,浜松市,中区,萩丘1-10-8,,34.748443,137.724256,7671,喫茶店,,,,,(053)475-3755,,,,,,,,,,,,2020-08-20,,
F0159,和食なかむら,ワショクナカムラ,,静岡県浜松市東区上西町41-26,4350048,221309,静岡県,,浜松市,東区,上西町41-26,,34.720356,137.757398,7621,日本料理店,,,,,(053)463-4345,,,,,,,,,,,,2020-08-20,,
F0157,鳥貴族　浜松モール街店,トリキゾクハママツモールガイテン,,静岡県浜松市中区千歳町99-1忠内ビル2階,4300934,221309,静岡県,,浜松市,中区,千歳町99-1,忠内ビル2階,34.703988,137.730966,7699,他に分類されない飲食店,,,,,(053)401-2811,,,https://www.torikizoku.co.jp/shops/detail/547,,,,,,,,,2020-08-20,,
F0156,美笠,ミカサ,,静岡県浜松市中区元浜町138-1,4300942,221309,静岡県,,浜松市,中区,元浜町138-1,,34.715063,137.732886,7621,日本料理店,,,,,(053)473-4811,,,http://enkai.biz/,,,,,,,,,2020-08-20,,
F0149,和らぎ,ヤワラギ,,静岡県浜松市浜北区本沢合888-13,4340014,221309,静岡県,,浜松市,浜北区,本沢合888-13,,34.808368,137.795150,7651,酒場，ビヤホール,,,,,(053)585-5558,,,https://yawaragi-hamakita.com/,,,,,,,,,2020-08-19,,
F0148,うおかっちゃん,ウオカッチャン,,静岡県浜松市中区砂山町6-1浜松駅ビルメイワン7Fレストランフロア,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,浜松駅ビルメイワン7Fレストランフロア,34.704168,137.734452,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)457-4066,,,https://www.uokacchan.net/,,,,,,,,,2020-08-19,,
F0147,焼酎酒房　呼子,ショウチュウシュボウ　ヨビコ,,静岡県浜松市中区紺屋町306-43アルテッツァ紺屋町1階,4300938,221309,静岡県,,浜松市,中区,紺屋町306-43,アルテッツァ紺屋町1階,34.707667,137.726266,7651,酒場，ビヤホール,,,,,(053)454-5141,,,,,,,,,,,,2020-08-19,,
F0144,Ligare,リガーレ,,静岡県浜松市中区鍛冶町319-24 2階,4300933,221309,静岡県,,浜松市,中区,鍛冶町319-24,2階,34.705800,137.729893,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)488-6006,,,,,,,,,,,,2020-08-19,,
F0142,食と酒と音を結ぶ和　和音,ショクトサケトオトヲムスブワカズネ,,静岡県浜松市中区紺屋町306-43アルテッツァ紺屋町1階,4300938,221309,静岡県,,浜松市,中区,紺屋町306-43,アルテッツァ紺屋町1階,34.707667,137.726266,7651,酒場，ビヤホール,,,,,(053)525-7677,,,https://m.facebook.com/kazuneakari/,,,,,,,,,2020-08-20,,
F0141,居酒屋飛騨,イザカヤヒダ,,静岡県浜松市中区千歳町10-1,4300934,221309,静岡県,,浜松市,中区,千歳町10-1,,34.703407,137.729390,7651,酒場，ビヤホール,,,,,(053)456-5320,,,,,,,,,,,,2020-08-19,,
F0140,しゅん助支店,シュンスケシテン,,静岡県浜松市中区蜆塚2-13-2,4328018,221309,静岡県,,浜松市,中区,蜆塚2-13-2,,34.711835,137.707675,7641,すし店,,,,,(053)456-2468,,,https://syunsuke-shiten.wixsite.com/website,,,,,,,,,2020-08-20,,
F0138,タイム,タイム,,静岡県浜松市中区千歳町41の12階,4320934,221309,静岡県,,浜松市,中区,千歳町41の1,2階,34.703221,137.729644,7671,喫茶店,,,,,(053)458-8118,,,,,,,,,,,,2020-08-19,,
F0134,すゞめや,スズメヤ,,静岡県浜松市中区板屋町664,4300928,221309,静岡県,,浜松市,中区,板屋町664,,34.707008,137.734393,7651,酒場，ビヤホール,,,,,(053)453-2594,,,,,,,,,,,,2020-08-19,,
F0130,やま文,ヤマブン,,静岡県浜松市中区板屋町686株式会社やま文,4300928,221309,静岡県,,浜松市,中区,板屋町686,株式会社やま文,34.706630,137.735190,7621,日本料理店,,,,,(053)454-1550,,,http://www.yamabun.jp/,,,,,,,,,2020-08-19,,
F0127,LE HACO,ルアコ,,静岡県浜松市中区鍛冶町2-7鈴木ビル1F,4300933,221309,静岡県,,浜松市,中区,鍛冶町2-7,鈴木ビル1F,34.703344,137.732212,7651,酒場，ビヤホール,,,,,(053)452-8003,,,https://www.lehaco.me/,,,,,,,,,2020-08-20,,
F0126,スナック　パピー,スナックパピー,,静岡県浜松市中区板屋町100-16,4300928,221309,静岡県,,浜松市,中区,板屋町100-16,,34.708458,137.733936,7651,酒場，ビヤホール,,,,,(053)454-1173,,,,,,,,,,,,2020-08-19,,
F0124,とんかつ　八兵衛,トンカツハチベイ,,静岡県浜松市西区入野町611-1,4328061,221309,静岡県,,浜松市,西区,入野町611-1,,34.700755,137.698131,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)436-1305,,,https://www.hatibe.com/,,,,,,,,,2020-08-19,,
F0123,とろろや　三方原店,トロロヤミカタバラテン,,静岡県浜松市北区東三方町109-2,4338104,221309,静岡県,,浜松市,北区,東三方町109-2,,34.775613,137.730099,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)436-1305,,,http://www.tororoya.com/,,,,,,,,,2020-08-20,,
F0122,とろろや　メイワン店,トロロヤメイワンテン,,静岡県浜松市中区砂山町6-1,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,,34.704168,137.734452,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)413-1466,,,http://www.tororoya.com/,,,,,,,,,2020-08-19,,
F0121,とろろや　佐鳴台本店,トロロヤサナルダイホンテン,,静岡県浜松市中区佐鳴台2-10-21,4328021,221309,静岡県,,浜松市,中区,佐鳴台2-10-21,,34.704229,137.696575,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)448-1905,,,http://www.tororoya.com/,,,,,,,,,2020-08-19,,
F0119,酒ノきのした,サケノキノシタ,,静岡県浜松市中区千歳町74-6アダムビル2F,4300934,221309,静岡県,,浜松市,中区,千歳町74-6,アダムビル2F,34.703980,137.730694,7651,酒場，ビヤホール,,,,,(053)458-1203,,,,,,,,,,,,2020-08-19,,
F0117,真鯛のだししゃぶ・五徳料理　しんせ,マダイノダシサブゴトクリョウリシンセ,,静岡県浜松市中区千歳町76-5Yビル1階,4300934,221309,静岡県,,浜松市,中区,千歳町76-5,Yビル1階,34.703628,137.730529,7651,酒場，ビヤホール,,,,,(053)453-5090,,,https://gotokusince.hamazo.tv/,,,,,,,,,2020-08-18,,
F0116,鳥貴族　サンストリート浜北店,トリキゾクサンストリートハマキタテン,,静岡県浜松市浜北区平口2861番地　サンストリート浜北1階,4340041,221309,静岡県,,浜松市,浜北区,平口2861番地,サンストリート浜北1階,34.794831,137.760828,7651,酒場，ビヤホール,,,,,(053)401-8133,,,https://www.torikizoku.co.jp/shops/detail/696,,,,,,,,,2020-08-20,,
F0115,浜名湖かんざんじ温泉　サゴーロイヤルホテル（レストラン会場・空海）,ハマナコカンザンジオンセンサゴーロイヤルホテル,,静岡県浜松市西区舘山寺町3302,4311209,221309,静岡県,,浜松市,西区,舘山寺町3302,,34.767658,137.611952,7699,他に分類されない飲食店,,,,,(053)487-0711,,,https://www.3535.co.jp/royal/,,,,,,,,,2020-08-18,,
F0114,ミュゼ四ツ池,ミュゼヨツイケ,,静岡県浜松市中区幸3-5-8,4338123,221309,静岡県,,浜松市,中区,幸3-5-8,,34.742179,137.727779,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)474-1161,,,https://www.musee4.com/,,,,,,,,,2020-08-20,,
F0113,天晴,アッパレ,,静岡県浜松市中区肴町317-19植村屋ビル2F,4300932,221309,静岡県,,浜松市,中区,肴町317-19,植村屋ビル2F,34.706639,137.729416,7651,酒場，ビヤホール,,,,,(053)458-1428,,,,,,,,,,,,2020-08-20,,
F0112,REGALO,レガロ,,静岡県浜松市中区肴町317-19植村屋ビル1F,4300932,221309,静岡県,,浜松市,中区,肴町317-19,植村屋ビル1F,34.706639,137.729416,7651,酒場，ビヤホール,,,,,(053)450-4333,,,,,,,,,,,,2020-08-20,,
F0111,味の木下,アジノキシタ,,静岡県浜松市中区田町324-24,4300944,221309,静岡県,,浜松市,中区,田町324-24,,34.707442,137.730511,7621,日本料理店,,,,,(053)456-2374,,,,,,,,,,,,2020-08-18,,
F0110,ハニココスイーツ,ハニココスイーツ,,静岡県浜松市西区古人見町709,4311113,221309,静岡県,,浜松市,西区,古人見町709,,34.729386,137.633957,7671,喫茶店,,,,,(053)489-9760,,,http://www.honeycocosweets.com/,,,,,,,,,2020-08-18,,
F0108,グランドホテル浜松　朱茂琳,グランドホテルハママツツモリン,,静岡県浜松市中区東伊場1-3-1,4328036,221309,静岡県,,浜松市,中区,東伊場1-3-1,,34.701180,137.722545,7623,中華料理店,,,,,(053)452-7018,,,https://www.grandhotel.jp/hamamatsu/,,,,,,,,,2020-08-19,,
F0106,濱しょう,ハマショウ,,静岡県浜松市中区田町325-5,4300944,221309,静岡県,,浜松市,中区,田町325-5,,34.707909,137.730034,7651,酒場，ビヤホール,,,,,(053)451-5455,,,,,,,,,,,,2020-08-18,,
F0105,コメダ珈琲店浜松三方原店,コメダコーヒーミカタバラテン,,静岡県浜松市北区三方原町237-1,4338105,221309,静岡県,,浜松市,北区,三方原町237-1,,34.771466,137.710844,7671,喫茶店,,,,,(053)439-8881,,,,,,,,,,,,2020-08-17,,
F0104,浜菜坊,ハマナボウ,,静岡県浜松市西区舞阪町弁天島3101,4310214,221309,静岡県,,浜松市,西区,舞阪町弁天島3101,,34.694044,137.605957,7621,日本料理店,,,,,(053)592-1676,,,http://www.hamanabo.co.jp/,,,,,,,,,2020-08-20,,
F0102,牛角浜松モール街店,ギュウカクハママツモールガイテン,,静岡県浜松市中区千歳町72明治屋ビル1F,4300934,221309,静岡県,,浜松市,中区,千歳町72,明治屋ビル1F,34.704341,137.730640,7625,焼き肉店,,,,,(053)459-2911,,,,,,,,,,,,2020-08-17,,
F0101,彩席かわかみ,サイセキカワカミ,,静岡県浜松市中区肴町318-16かわかみビル1階,4300932,221309,静岡県,,浜松市,中区,肴町318-16,かわかみビル1階,34.706305,137.729911,7621,日本料理店,,,,,(053)452-3777,,,,,,,,,,,,2020-08-19,,
F0100,花＊はな,ハナハナ,,静岡県浜松市中区田町330-17TKIビル 1F,4300944,221309,静岡県,,浜松市,中区,田町330-17,TKIビル 1F,34.706187,137.731857,7651,酒場，ビヤホール,,,,,(053)451-8787,,,,,,,,,,,,2020-08-19,,
F0099,UNDERGROUND,アンダーグランド,,静岡県浜松市中区肴町318-18八千代ビル　B1F,4300932,221309,静岡県,,浜松市,中区,肴町318-18,八千代ビル　B1F,34.706299,137.729780,7651,酒場，ビヤホール,,,,,(053)452-5123,,,https://sports-dining-bar-inspire.business.site/,,,,,,,,,2020-08-18,,
F0098,呑み処　心,ノミドコロココロ,,静岡県浜松市天竜区山東1066-1,4313303,221309,静岡県,,浜松市,天竜区,山東1066-1,,34.890308,137.833943,7651,酒場，ビヤホール,,,,,(0539)26-2253,,,,,,,,,,,,2020-08-17,,
